source,date_published,title,content,url,topic,sentiment
The Atlantic,2024-11-14,What Crypto Wants From Trump,"This is an edition of The Atlantic Daily, a newsletter that guides you through the biggest stories of the day, helps you discover new ideas, and recommends the best in culture. Sign up for it here.Ov… [+7964 chars]",https://www.theatlantic.com/newsletters/archive/2024/11/crypto-trump-congress-normalization/680664/,ECON,Neutral
Yahoo Entertainment,2024-11-08,"TikTok Hopes for Lifeline From President-Elect Trump, Who Once Favored Ban","(Bloomberg) -- Some TikTok staff and creators, bracing for a potential ban of the popular video-sharing platform as soon as January, have come to see President-elect Donald Trump as a possible savior… [+7783 chars]",https://finance.yahoo.com/news/tiktok-hopes-lifeline-president-elect-140024561.html,ECON,Neutral
Techmeme.com,2024-11-08,Some TikTok staff and users see Trump as a possible savior from the ban; others question whether Trump even cares about the app now that the campaign is over (Alexandra S. Levine/Bloomberg),"About This Page
This is a Techmeme archive page.
It shows how the site appeared at 10:35 AM ET, November 8, 2024.
The most current version of the site as always is available at our home page.
To … [+71 chars]",https://www.techmeme.com/241108/p8,ECON,Neutral
Wired,2024-11-06,Trump Won. What Will Happen to Electric Vehicles?,"Donald Trump picked up 15 electoral votes when he won Michigan on Election Day, another big win that helped to hand the Republican candidate his second presidential term. Both he and the Democratic n… [+3407 chars]",https://www.wired.com/story/trump-won-what-happens-to-electric-vehicles-now/,ECON,Negative
Wired,2024-11-14,We Break Down the Internet’s Future Under Trump 2.0,"Leah Feiger: Enough trillions that don't actually currently exist in that budget.
Katie Drummond: Exactly. So thinking about that very messy, very human business and Elon Musk and Donald Trump in a … [+5020 chars]",https://www.wired.com/story/the-internets-future-under-donald-trump/,ECON,Neutral
Yahoo Entertainment,2024-11-10,Young Black and Latino men say they chose Trump because of the economy and jobs. Here's how and why,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_3e9f715a-82da-41c1-8519-f99f77e38532,ECON,Positive
AppleInsider,2024-11-22,Apple ramping up India manufacturing expansion to avoid Trump tariffs on China,"Indian media has revealed that Apple is in talks with more than 40 firms in the region to become component suppliers for devices including the iPhone, ahead of a Trump administration applying tariffs… [+2917 chars]",https://appleinsider.com/articles/24/11/22/apple-ramping-up-india-manufacturing-expansion-to-avoid-trump-tariffs-on-china,ECON,Negative
ABC News,2024-11-14,Congestion pricing plan opposed by Trump returns with new reduced tolls,"New York Gov. Kathy Hochul is reviving New York City's congestion pricing with a new plan that lowers the previously planned cost to vehicles traveling through Manhattan below 60th Street.
The revis… [+2428 chars]",https://abcnews.go.com/US/new-york-city-congestion-pricing-plan-returns-new/story?id=115868701,ECON,Positive
VentureBeat,2024-11-06,"Tech leaders congratulate Trump on winning 2024 election, pledge to work together on innovation","Join our daily and weekly newsletters for the latest updates and exclusive content on industry-leading AI coverage. Learn More
Tech leaders said they are ready to work with the new Trump administrat… [+3074 chars]",https://venturebeat.com/ai/tech-leaders-congratulate-trump-on-winning-2024-election-pledge-to-work-together-on-innovation/,ECON,Positive
Yahoo Entertainment,2024-11-06,"US suppliers, importers prepare for promised Trump tariffs","By Lisa Baertlein and David Kirton
LOS ANGELES (Reuters) - Some U.S. businesses are activating plans to protect their businesses from President-elect Donald Trump's promise to slap new and potential… [+3249 chars]",https://finance.yahoo.com/news/us-suppliers-importers-prepare-promised-153242543.html,ECON,Positive
Gizmodo.com,2024-10-29,Elon Musk Keeps Saying Trump Will Tank the Economy,"Top economists and assorted financial experts have been sounding the alarm that Donald Trump’s plans for a second presidential administration would spike the federal deficit by trillions of dollars, … [+6386 chars]",https://gizmodo.com/elon-musk-keeps-saying-trump-will-tank-the-economy-2000518006,ECON,Positive
