source,date_published,title,content,url,topic,sentiment
Time,2024-10-28,My Christian Faith Won’t Let Me Vote for Donald Trump or His Disciples,"When I step into the voting booth next week, I will participate in making my voice heard on local, state, and federal issues that range from a local transit tax, all the way to who will represent me … [+8827 chars]",https://time.com/7098605/christian-faith-donald-trump-vote-essay/,ELEC,Positive
Yahoo Entertainment,2024-11-18,"This Dad Is Refusing To Pay His Trump-Supporting Sons' College Tuition After The Election, And People Are Debating If He's Gone Too Far","If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_df697551-46fd-41e9-bedc-6b8a9447123c,ELEC,Negative
Americanthinker.com,2024-11-22,Washington and Trump: God’s Soldiers,"Providence watched over both George Washington, the father of our country, and Donald Trump, the 45th and soon-to-be 47th president. With Trump’s re-election, there is a sense of relief and immense t… [+7308 chars]",https://www.americanthinker.com/articles/2024/11/washington_and_trump_god_s_soldiers.html,ELEC,Positive
ABC News,2024-11-09,FEMA supervisor fired after allegedly advising team to avoid homes with Trump signs,A Federal Emergency Management Agency supervisor was fired and is under investigation for allegedly asking team members to not inspect homes in a hurricane-ravaged Florida town that had signs support… [+875 chars],https://abcnews.go.com/US/fema-supervisor-fired-investigation-after-allegedly-advising-team/story?id=115700538,ELEC,Negative
ABC News,2024-11-06,How Donald Trump won the presidency,"Former President Donald Trump is projected to be the next president of the United States, according to an ABC News projection issued at 5:31 a.m. Eastern on Wednesday, Nov. 6. As of 6 a.m. Eastern, G… [+5045 chars]",https://abcnews.go.com/538/donald-trump-won-presidency/story?id=115556511,ELEC,Neutral
The New York Review of Books,2024-11-13,The Return of Trump—V,"Astra Taylor • Michael Greenberg • Coco Fusco • Verlyn Klinkenborg • Thomas Powers • Anne Enright
*
On election night, before Harris’s loss set in, some exit polls showed that “democracy” was a top… [+21658 chars]",https://www.nybooks.com/online/2024/11/13/the-return-of-trump-v/,ELEC,Neutral
Yahoo Entertainment,2024-11-03,"Trump says he 'shouldn’t have left' the White House, doesn't 'mind' reporters being shot at during rally","If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_5b2e99c4-fc63-4c6e-8e20-13e84009cc90,ELEC,Negative
Yahoo Entertainment,2024-11-21,I'm 68 and rely on Social Security for retirement income — what might a Trump presidency mean for my benefits?,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_165442d6-0ed2-4edf-82e2-c9ac67cdc4f1,ELEC,Positive
Business Insider,2024-11-15,Peter Thiel says Elon Musk's embrace of Donald Trump helped other Silicon Valley leaders feel safe supporting him,"Peter Thiel credited Elon Musk with helping other tech leaders feel safe supporting Donald Trump.Getty Images
<ul><li>Peter Thiel attributed recent Trump support in Silicon Valley, in part, to Elon … [+3597 chars]",https://www.businessinsider.com/peter-thiel-elon-musk-turn-donald-trump-other-tech-ceos-2024-11,ELEC,Positive
TMZ,2024-11-16,"Dana White Says Donald Trump, Conor McGregor Received Loudest Ovations Ever","The UFC has no shortage of star power at its events -- in and out of the Octagon -- so, who's gotten the loudest pop from the crowd?!
Dana White has an answer.
""When you think about fighter walkout… [+1624 chars]",https://www.tmz.com/2024/11/16/dana-white-donald-trump-conor-mcgregor-loudest-ovation-ufc/,ELEC,Positive
Rolling Stone,2024-10-29,These Pennsylvania Election Officials Are Pro-Trump Conspiracists,"Alyssa Fusaro believed that two Latina women working in the Luzerne County, Pennsylvania, elections office the day after the November 2022 election were throwing away ballots. She went to a nearby de… [+11672 chars]",http://www.rollingstone.com/politics/politics-features/pennsylvania-election-deniers-officials-trump-conspiracies-1235146332/,ELEC,Positive
