source,date_published,title,content,url,topic,sentiment
Buzzfeed,2024-11-12,"A Woman Went Viral For Asking If Other Women Also Woke Up In The Dead Of Night As Trump Was Elected, And Literally, Everyone Did","Make your vote count! Learn more about how to register, important deadlines, and your state's mail-in voting options here. For more on the 2024 election, check out coverage on BuzzFeed, HuffPost, and… [+9 chars]",https://www.buzzfeed.com/alanavalko/women-election-night-viral-tiktok,HEAL,Negative
Time,2024-11-11,Why Abortion Rights Won in Three States That Voted for Trump,"As seven of the 10 states that voted on reproductive rights passed ballot measures to protect access, the country reelected former President Donald Trumpa man who has claimed credit for the U.S. Supr… [+7195 chars]",https://time.com/7174962/abortion-rights-won-states-voted-trump/,HEAL,Negative
ABC News,2024-10-30,Trump campaign distances itself from House speaker's plan for 'massive reform' to ACA,"House Speaker Mike Johnson's suggestion that Republicans would implement ""massive reform"" to the Affordable Care Act -- known as Obamacare -- is causing a bit of a headache for the Trump campaign.
A… [+2921 chars]",https://abcnews.go.com/Politics/trump-campaign-distances-house-speakers-plan-massive-reform/story?id=115313086,HEAL,Positive
Time,2024-11-20,How the Biden Administration Protected Abortion Pill Access—and What Trump Could Do Next,"President Joe Biden has taken a number of steps to protect access to abortion pills, particularly in the wake of the U.S. Supreme Courts ruling in Dobbs v. Jackson Womens Health Organizationtwo years… [+8125 chars]",https://time.com/7177933/biden-trump-abortion-pill-mifepristone-access/,HEAL,Negative
Wired,2024-11-06,States’ Abortion Rights Wins May Be Short-Lived Under a Second Trump Term,"When the US Supreme Court overturned Roe v. Wade in June 2022, it ended the constitutional right to have an abortion and returned the ability to regulate the procedure to the states. Now, amid a heat… [+2219 chars]",https://www.wired.com/story/donald-trump-win-seven-states-vote-abortion-rights/,HEAL,Negative
Scientific American,2024-11-14,"What RFK, Jr.’s Health Cabinet Position under Trump Might Look Like",Many scientists at the federal health agencies await the second Donald Trump administration with dread as well as uncertainty over how the president-elect will reconcile starkly different philosophie… [+11583 chars],https://www.scientificamerican.com/article/what-rfk-jr-s-health-cabinet-position-under-trump-might-look-like/,HEAL,Neutral
Gizmodo.com,2024-11-04,Trump Teases Vaccine Bans With RFK Jr. in Potential Health Role,"On the eve of the 2024 U.S. presidential election, Donald Trump isn’t saying no to tearing down some of the country’s public health pillars if reelected. In recent interviews and public events, Trump… [+4799 chars]",https://gizmodo.com/trump-teases-vaccine-bans-with-rfk-jr-in-potential-health-role-2000520096,HEAL,Negative
ABC News,2024-11-06,"What a 2nd Trump term may look like for health care issues including ACA, abortion","Former President Donald Trump is set to return to the White House after winning Tuesday night's election.
As of Wednesday morning, Trump surpassed the 270 electoral votes need to secure the presiden… [+5085 chars]",https://abcnews.go.com/Health/2nd-trump-term-health-care-issues-including-aca/story?id=115560059,HEAL,Negative
Time,2024-11-04,‘We’re Not Single Issue Voters.’ Trump Bets Abortion Isn’t Key to Suburban Women Vote,"In 2016, Donald Trump campaigned for the presidency on an anti-abortion message, promising to appoint pro-life judges to the Supreme Court. In 2022, three of his nominees fulfilled that promise, voti… [+6992 chars]",https://time.com/7172095/trump-suburban-women-vote-abortion/,HEAL,Negative
NPR,2024-10-28,Here's where Harris and Trump stand on three big health care issues,"As the 2024 election heads into its final weeks, the direction of policies affecting the health of millions of Americans is at stake.
The next president and Congress will have the power to put their… [+9098 chars]",https://www.npr.org/sections/shots-health-news/2024/10/27/nx-s1-5165508/trump-harris-election-health-affordable-care,HEAL,Positive
