source,date_published,title,content,url,topic,sentiment
Biztoc.com,2024-11-20,Donald Trump 'Enamored of and Beholden to' Putin: Mary Trump,"Mary Trump, President-elect Donald Trump's estranged niece, has accused her uncle of being ""enamored of and beholden to"" Russian President Vladimir Putin.In a Wednesday blog post, Trump expressed con… [+141 chars]",https://biztoc.com/x/ee7b396ecad4c8bd,INTER,Negative
Yahoo Entertainment,2024-11-18,Opinion - Putin is sending a not-so-friendly message to Trump,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_5d4393cc-31fb-4ee8-9dc4-eb5ce9640f14,INTER,Negative
NPR,2024-11-15,"Trump claims he can bring peace to the world. In India, many believe him","CHENNAI, India On the eve of the U.S. presidential election in the southern Indian city of Chennai, one retired professional said he was all in for Donald Trump: ""He's the right man,"" said Bala Raja,… [+4836 chars]",https://www.npr.org/2024/11/15/g-s1-34174/trump-election-india-peace,INTER,Positive
Yahoo Entertainment,2024-11-15,Muslims who voted for Trump upset by his pro-Israel cabinet picks,"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
B… [+4173 chars]",https://www.yahoo.com/news/muslims-voted-trump-upset-pro-175717749.html,INTER,Negative
Biztoc.com,2024-11-22,China ‘willing’ to engage in Trump dialogue as it backs exporters,"Officials say Beijing will remain steadfast in resisting protectionist measures
This story appeared on ft.com, 2024-11-22 06:22:18.",https://biztoc.com/x/73d758df0df5a4d0,INTER,Negative
Business Insider,2024-10-29,"Republicans are mobilizing expat votes for Trump in Israel, hoping to tip the scale in battleground states","The Republican Overseas in Israel has been working to get American voters in Israel to cast their ballots for former President Donald Trump.CHANDAN KHANNA/AFP via Getty Images
<ul><li>Republicans in… [+6557 chars]",https://www.businessinsider.com/american-republicans-in-israel-mobilizing-expat-vote-for-trump-2024-10,INTER,Positive
Business Insider,2024-11-21,Biden is scrambling to change the war in Ukraine before Trump takes over,"Ukrainian troops install anti-tank mines and other obstacles along the front lines near Chasiv Yar on October 30.Oleg Petrasiuk/Ukrainian 24th Mechanised Brigade via AP
<ul><li>Joe Biden is taking l… [+7092 chars]",https://www.businessinsider.com/biden-scrambling-to-change-war-ukraine-before-trump-takes-over-2024-11,INTER,Negative
Yahoo Entertainment,2024-11-07,"Putin praises Trump, says he's ready to talk to him","If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_dcfcf33d-3891-4661-b775-68f6c6fa19cd,INTER,Positive
Yahoo Entertainment,2024-11-09,Trump transition distances itself from Ukraine peace plan outlined by Republican strategist,"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
W… [+3047 chars]",https://ca.news.yahoo.com/trump-adviser-says-priority-ukraine-173019059.html,INTER,Positive
Yahoo Entertainment,2024-11-18,China's Xi sets boundaries for Trump with 4 'red lines',"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_b2c8f278-3dcf-4c03-9777-953b309cb49f,INTER,Negative
ABC News,2024-11-21,"Trump, a master of merchandise, could face fresh conflicts of interests: Experts","On the campaign trail, Donald Trump hawked apparel and keepsakes promoting his presidential bid in what experts ABC spoke with characterized as an unprecedented effort to commoditize his political pl… [+6005 chars]",https://abcnews.go.com/US/trump-master-merchandise-face-fresh-conflicts-interests-experts/story?id=115912341,INTER,Positive
Business Insider,2024-11-06,Putin's allies celebrated as Trump closed in on victory,"Russian President Vladimir Putin at the Grand Kremlin Palace on November 5 2024, in Moscow.Contributor/Getty Images
<ul><li>Kremlin officials and allies welcomed Donald Trump's 2024 election win.</l… [+4658 chars]",https://www.businessinsider.com/putin-kremlin-allies-celebrate-donald-trump-election-victory-russia-reaction-2024-11,INTER,Negative
ABC News,2024-11-05,"How Harris, Trump handle foreign affairs could play in the 2024 election: ANALYSIS","As American voters head to the polls, the direction of the country, not the world, is likely to drive their decision.
But there's a reason the president of the United States is often referred to as … [+7378 chars]",https://abcnews.go.com/Politics/foreign-affairs-play-presidential-election-analysis/story?id=115415460,INTER,Neutral
The New Republic,2024-11-22,North Korea’s Kim Jong Un Tells Trump to Screw Off,"This is wrong in itself, Orbán told Hungarian state radio Friday. So there is no other choice here: We have to confront this decision, and so later today I will invite the prime minister of the Israe… [+739 chars]",https://newrepublic.com/post/188747/north-korea-kim-jong-un-message-trump-diplomacy,INTER,Positive
Time,2024-11-07,50 European Leaders Assess How Trump Will Affect Their Fortunes,"BUDAPEST, Hungary Around 50 European leaders, including Ukrainian President Volodymyr Zelenskyy and NATO Secretary-General Mark Rutte, will be reassessing their trans-Atlantic relations in the hope t… [+2847 chars]",https://time.com/7173707/50-european-leaders-assess-how-trump-will-affect-their-fortunes-german-crisis-adds-to-challenges/,INTER,Neutral
Time,2024-11-11,"Netanyahu Says He and Trump ‘See Eye to Eye,’ as Israel Bombards Lebanon and Gaza","DEIR AL-BALAH, Gaza Strip Israeli strikes killed dozens of people including children on Sunday in Lebanon and isolated northern Gaza, as the world watched for signs of how the U.S. election might aff… [+6078 chars]",https://time.com/7174795/netanyahu-trump-israel-airstrikes-lebanon-gaza/,INTER,Negative
The Atlantic,2024-11-11,Trump Is Handing China a Golden Opportunity on Climate,"In what will probably be the warmest year in recorded history, in a month in which all but two U.S. states are in a drought, and on a day when yet another hurricane was forming in the Caribbean, Dona… [+7523 chars]",https://www.theatlantic.com/science/archive/2024/11/trump-cop-china-climate/680611/,INTER,Negative
ABC News,2024-11-07,Trump takes calls from growing list of world leaders following election victory,"LONDON -- Chinese President Xi Jinping, French President Emmanuel Macron and Israeli Prime Minister Benjamin Netanyahu were among the world leaders to speak by phone with President-elect Donald Trump… [+3595 chars]",https://abcnews.go.com/International/trump-takes-calls-growing-list-world-leaders-election/story?id=115594837,INTER,Positive
Wired,2024-11-01,A Russian Disinfo Campaign Is Using Comment Sections to Seed Pro-Trump Conspiracy Theories,"Video has come out from Bucks County, Pennsylvania showing a ballot counter destroying ballots for Donald Trump and keeping Kamala Harris's ballots for counting, an account called Dan from Ohio wrote… [+2408 chars]",https://www.wired.com/story/russia-disinfo-campaign-right-wing-comment-sections-pro-trump/,INTER,Neutral
RT,2024-11-24,Ukraine can make America rich – Trump ally,"Ukraine could be extremely useful to the US because it is brimming with valuable natural resources and is willing to negotiate an agreement with Washington on extraction, Senator Lindsey Graham has s… [+2317 chars]",https://www.rt.com/news/608128-ukraine-can-make-america-rich/,INTER,Positive
Biztoc.com,2024-11-22,Trump trade stance pushes Asian nations toward regional alliances,NEW YORK -- Asian countries are responding to U.S. President-elect Donald Trump's protectionist rhetoric by placing greater emphasis on regional and bilateral trade agreements that seek to foster tra… [+151 chars],https://biztoc.com/x/6d9c9279ec55c8bc,INTER,Negative
