source,date_published,title,content,url,topic,sentiment
ABC News,2024-11-15,"Eric Adams dodges questions about potential Trump pardon, reflects NYC's future","New York City Mayor Eric Adams dodged questions by the hosts of ""The View"" Friday about a potential pardon from President-elect Donald Trump over his ongoing federal investigators.
However, he had a… [+4124 chars]",https://abcnews.go.com/Politics/mayor-eric-adams-discusses-immigration-rfk-jr-trump/story?id=115878942,PERS,Negative
Wired,2024-11-14,Silk Road Creator Ross Ulbricht Is Waiting for Trump to Keep His Word—and Set Him Free,"At sentencing, the judge was also permitted to take under consideration the murder-for-hire allegations, despite them never having been charged at trial. Until the Supreme Court rules otherwise, rele… [+2348 chars]",https://www.wired.com/story/silk-road-creator-ross-ulbricht-is-waiting-for-trump-to-keep-his-word-and-set-him-free/,PERS,Negative
Yahoo Entertainment,2024-11-03,The last temptation of Donald Trump: How he lured evangelicals to follow Satan,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_dc8e4285-f876-43c5-8c9f-feccfb0afe56,PERS,Negative
Rolling Stone,2024-11-11,Trump Taps Family Separation Mastermind to Be ‘Border Czar’,"In 2016, following Donald Trump’s upset win for the White House, The Wall Street Journal reported that his campaign staff seemed flabbergasted by the scope of hiring and appointments required for an … [+4169 chars]",http://www.rollingstone.com/politics/politics-news/tom-homan-trump-border-czar-mass-deportations-1235161326/,PERS,Neutral
Time,2024-11-01,Trump Says Liz Cheney Might Not Be Such a ‘War Hawk’ If She Had Guns Pointed at Her,"GLENDALE, Ariz. Donald Trump is calling former Rep. Liz Cheney, one of his most prominent Republican critics, a war hawk and suggesting she might not be as willing to send troops to fight if she had … [+1600 chars]",https://time.com/7171366/trump-liz-cheney-war-hawk/,PERS,Negative
Daily Beast,2024-11-02,Opinion: This Is Why I Am Releasing The Epstein-Trump Tapes: Michael Wolff,"Starting in the Summer of 2016 and then through the first year of the Trump administration, as I wrote my book Fire and Fury about the first months of the Trump White House, I spoke periodically to T… [+2790 chars]",https://www.thedailybeast.com/this-i-why-i-am-releasing-the-jeffrey-epstein-donald-trump-tapes-author-michael-wolff/,PERS,Negative
ABC News,2024-10-29,Melania Trump defends her husband: 'He is not Hitler',"After making a surprise appearance at her husband's Madison Square Garden rally on Sunday, Melania Trump spoke out on ""Fox and Friends"" on Tuesday, fiercely defending him against reported comments th… [+3398 chars]",https://abcnews.go.com/Politics/melania-trump-defends-husband-hitler/story?id=115257844,PERS,Positive
TMZ,2024-11-08,Secret Service Robot Dogs Protect Mar-a-Lago After Trump Win,"Donald Trump's got a new pack watching his back ... 'cause new video shows robot dogs keeping a close eye on the president-elect.
New video taken at Mar-a-Lago shows the robotic rovers prancing acro… [+1215 chars]",https://www.tmz.com/2024/11/08/secret-service-robot-dog-mar-a-lago-donald-trump-victory/,PERS,Positive
Biztoc.com,2024-11-07,What Trump Victory Means for Melania and Barron Trump,"Donald Trump has won the White House for a second time, and while this will have consequences across the entire world, it also has direct implications for his wife, Melania, and youngest son, Barron.… [+143 chars]",https://biztoc.com/x/225b38e684645838,PERS,Negative
The New Republic,2024-10-29,Shameless Judge Aileen Cannon Prepares to Hand Trump Another Favor,"Trumps plan to appoint Musk to his administration, possibly to lead a government efficiency task force, could also have negative effects. JD Vance, Trumps running mate, previously said Musk told him … [+973 chars]",https://newrepublic.com/post/187670/judge-aileen-cannon-donald-trump-favor-shooting,PERS,Negative
