source,date_published,title,content,url,topic,sentiment
Rolling Stone,2024-10-27,"Extremely Racist ‘Comedian’ Speaks at Trump Rally, Calls Puerto Rico ‘Garbage’","Controversial comedian Tony Hinchcliffe made several racist comments about Latinos at former President Donald Trump’s rally on Sunday at Madison Square Garden in New York City. 
“I welcome migrants … [+2707 chars]",http://www.rollingstone.com/politics/politics-news/trump-tony-hinchcliffe-racist-comedian-rally-new-york-puerto-rico-latinos-1235144502/,SOCIO,Negative
ABC News,2024-11-03,Trump campaign defends his remarks about violence toward journalists,"Former President Donald Trump is doing damage control after seemingly espousing violence toward journalists.
During a campaign rally in Lititz, Pennsylvania, on Sunday, Trump made comments suggestin… [+1767 chars]",https://abcnews.go.com/Politics/trump-campaign-defends-remarks-violence-journalists/story?id=115449625,SOCIO,Negative
Time,2024-10-27,Trump Rally at Madison Square Garden Marked by Racist and Lewd Jokes,"Donald Trump was the headliner at Madison Square Garden on Sunday. But the more than two dozen warm-up acts showed the country a lot about the party hes built around him. 
Speaking from a podium on … [+3215 chars]",https://time.com/7099205/trump-rally-tony-hinchcliffe/,SOCIO,Negative
Time,2024-11-20,Texas Offers Trump Land on U.S.-Mexico Border for Potential Mass Deportation,"McALLEN, Texas Texas is offering a parcel of rural ranchland along the U.S.-Mexico border to use as a staging area for potential mass deportations under President-elect Donald Trump.
The property, w… [+2486 chars]",https://time.com/7177979/texas-offers-trump-land-border-deportation/,SOCIO,Negative
The Hill,2024-11-19,Ken Cuccinelli says Trump using military will help drive migrant numbers at border ‘down into the dirt’,"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
F… [+1917 chars]",https://thehill.com/policy/national-security/4997244-ken-cuccinelli-says-trump-using-military-will-help-drive-migrant-numbers-at-border-down-into-the-dirt/,SOCIO,Positive
Forbes,2024-11-22,Why Florida’s New Immigration Crackdown Could Be A Blueprint For Trump,"F
loridas SB1718, which took effect on July 1, 2023, required businesses with 25 or more employees to use E-Verify to confirm the immigration status of new hires. E-Verify is an online system run by… [+12229 chars]",https://www.forbes.com/sites/brandonkochkodin/2024/11/21/small-business-h2a-everify-florida-immigration-trump/,SOCIO,Negative
Time,2024-10-29,Trump Says His New York Rally Marked by Crude and Racist Insults Was a ‘Lovefest’,"(PALM BEACH, Fla.) Donald Trump on Tuesday called his rally at New York's Madison Square Garden, an event marked by crude and racist insults by several speakers, a lovefest.
That's a term the former… [+3874 chars]",https://time.com/7134318/donald-trump-madison-square-garden-rally-insults-lovefest/,SOCIO,Negative
Yahoo Entertainment,2024-11-22,Trump immigration crackdown: Denaturalization just a drop in the bucket,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_922e5492-d724-4846-8d42-fee912b6a3bb,SOCIO,Negative
NPR,2024-10-28,"Remarks made at Trump rally backfires. And, Yankees aim for World Series comeback","Good morning. You're reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day.
Today's top st… [+5532 chars]",https://www.npr.org/2024/10/28/g-s1-30284/up-first-newsletter-trump-rally-madison-square-garden-world-series-games,SOCIO,Negative
Time,2024-11-01,Why Trump Thinks He Needs Young Men to Win,"If Donald Trump reclaims the White House, he will have one voting demographic to thank for it: men. Thats the fundamental theory of the Trump campaign. In the elections final weeks, the former Presid… [+6166 chars]",https://time.com/7171535/donald-trump-harris-young-men/,SOCIO,Positive
The Atlantic,2024-11-01,Why Black Male Voters Are Drifting Toward Trump,"Donald Trump’s history of racism is breathtaking. His track record of prejudice is so prodigious that keeping all of the incidents straight is difficult: There’s the Central Park Five, the “Muslim ba… [+13067 chars]",https://www.theatlantic.com/politics/archive/2024/11/democrats-republicans-black-vote/680480/,SOCIO,Negative
Time,2024-11-19,"As Trump Seeks Mass Deportations, Workplace Raids May Not Help Much","Just over a year into Donald Trumps first term as President, immigration agents raided a meat processing plant in Bean Station, Tennessee, arresting 104 workers. It was the largest worksite raid in a… [+3820 chars]",https://time.com/7177304/trump-mass-deportation-raids/,SOCIO,Negative
The New Republic,2024-11-22,It’s Not Just Trump—Republicans Have Plan to Gut Education Department,"The woman, who was 17 years old at the time, testified that the second sexual encounter, which has not previously been reported, included another adult woman. She also testified to both sexual encoun… [+1526 chars]",https://newrepublic.com/post/188730/republicans-bills-education-department,SOCIO,Negative
ABC News,2024-11-21,Texas land commissioner open to offering Trump more land for mass deportation,"A Texas official, who this week offered the incoming Trump administration a 1,402-acre plot of land to build ""deportation facilities,"" says other parts of Texas near the border could be offered up in… [+4516 chars]",https://abcnews.go.com/US/texas-land-commissioner-open-offering-trump-land-mass/story?id=116108825,SOCIO,Negative
Jalopnik,2024-11-14,Donald Trump Puts Biking And Busses On The Chopping Block,"Good morning! Its Thursday, November 14, and this is The Morning Shift, your daily roundup of the top automotive headlines from around the world, in one place. Here are the important stories you need… [+9501 chars]",https://jalopnik.com/donald-trump-puts-biking-and-busses-on-the-chopping-blo-1851698249,SOCIO,Negative
NPR,2024-10-29,"Amid a backlash over Puerto Ricans, Trump repeats claims about the border","Former President Trump, the Republican nominee for president, stuck to his script of border enforcement, crime and the economy, as he sought to draw a contrast from his Democratic rival, Vice Preside… [+3066 chars]",https://www.npr.org/2024/10/29/nx-s1-5170150/trump-border-puerto-ricans,SOCIO,Negative
The Atlantic,2024-11-18,The Anti-Immigration Measure That Trump Is Ignoring,"In Mexico, the conditions that have contributed to the largest sustained movement of humans across any border in the world will get only more common. This spring, at the start of the corn-growing sea… [+6848 chars]",https://www.theatlantic.com/science/archive/2024/11/migration-climate-trump/680696/,SOCIO,Negative
Wired,2024-11-13,ICE Started Ramping Up Its Surveillance Arsenal Immediately After Donald Trump Won,"Compared to its recent November notice, ICE was more detailed about its 2025 plans in a different notice released last year. This earlier notice shows that ICE was preparing for a more intense immigr… [+2023 chars]",https://www.wired.com/story/ice-surveillance-contracts-isap/,SOCIO,Negative
Vox,2024-11-18,The law is clear on birthright citizenship. Can Trump end it anyway?,"Ending birthright citizenship has been on President-elect Donald Trumps wishlist for years, and hes pledged to kill it once and for all in his next term. But ending it may not be as easy as hes promi… [+6044 chars]",https://www.vox.com/policy/386094/birthright-citizenship-trump-2024-immigration,SOCIO,Negative
Poynter,2024-11-22,Covering immigration? Here’s what to watch for under a Trump administration,"On many occasions, President-elect Donald Trump promised to deport immigrants on a scale never seen before. With an estimated 11 million people in the U.S. who lack permission to stay, keeping that p… [+6539 chars]",https://www.poynter.org/reporting-editing/2024/covering-immigration-heres-what-to-watch-for-under-a-trump-administration/,SOCIO,Negative
Rolling Stone,2024-11-18,Trump Confirms He’s Declaring National Emergency So Military Can Deport Migrants,"Donald Trump‘s determination to conduct mass deportations of undocumented immigrants is very real, and he wants to start cracking down immediately. One of the ways he plans to do so is by declaring a… [+2559 chars]",http://www.rollingstone.com/politics/politics-news/trump-national-emergency-military-deportations-1235169953/,SOCIO,Negative
Rolling Stone,2024-11-07,Trump Reaffirms Determination to Carry Out Mass Deportations: ‘No Price Tag’,"In a little less than three months, Donald Trump will be sworn in as president. His chief campaign promise to crack down on undocumented immigrants is top of mind as he prepares to return to office. … [+3316 chars]",http://www.rollingstone.com/politics/politics-news/trump-no-price-tag-mass-deportations-1235157016/,SOCIO,Negative
